id,text,pub_date,relevance
1252316211209175040,@CarnivalCruise so when u say 100 percent future cruise credit do you mean the full amount of a future cruise or full credit of what I’ve already paid?,2020-04-20 19:20:26+00:00,0
1252100286212182018,Hey @CarnivalCruise can y’all offer me a free drink package as incentive to pay off my cruise? 😅,2020-04-20 05:02:25+00:00,1
1251875317326675968,@CarnivalCruise @Norwegian @PrincessCruises @HALcruises @CelebrityCruise please support the antivaxxers and trump supporters protesting the lockdown. Ask @POTUS to open up cruise lines specifically for his supporters and non-essential government workers.,2020-04-19 14:08:29+00:00,0
1251391364929126401,RT @cmjax88: @CarnivalCruise I had a cruise cancelled and rebooked with FCC and filled out the form. I paid for the new cruise and was wond…,2020-04-18 06:05:25+00:00,0
1251213454821728262,RT @ForbesLife: .@CarnivalCruise has canceled all cruises through June 26: https://t.co/Knu5ysXfjV https://t.co/BnUKA9xL0g,2020-04-17 18:18:28+00:00,1
1251211027246731264,@lavenderrwave @CarnivalCruise Jesus. What the fuck is wrong with Carnival? Not ever booking a cruise with them.,2020-04-17 18:08:49+00:00,1
1251097783228076032,"@CarnivalCruise where’s my refund 😡 my cruise has been cancelled for over a month i contacted customer service 2-3 weeks ago about this and They said my request was never processed. Excursions were supposed to be in my account in 5-7 bus days, and definitely aren’t. $2k+ missing",2020-04-17 10:38:50+00:00,0
1251132027413254145,"RT @BombshellDAILY: SAUDI KING BAILS OUT TRUMP CONNECTED CRUISE COMPANY
Just one of many payoff schemes showing who is really 
in charge of…",2020-04-17 12:54:54+00:00,1
1251130605586149380,"@travisakers @CarnivalCruise Worth noting that’s not a carnival cruise ship. Also no passengers they can’t afford port fees for an empty ship so they swing by to get provisions and anchor out, mostly in the Bahamas.",2020-04-17 12:49:15+00:00,1
1251129548764299265,⁦@CarnivalCruise⁩ I hope they get sued under! They dump trash in the ocean and coral reefs are bleaching because Carnival Cruise’s irresponsibility. They pay fines because it’s cheaper than disposing of waste correctly.⁦⁦@BernieSanders⁩  https://t.co/DtKbVrMtaj,2020-04-17 12:45:03+00:00,1
1251128687036071937,"RT @BombshellDAILY: SAUDI KING BAILS OUT TRUMP CONNECTED CRUISE COMPANY
Just one of many payoff schemes showing who is really 
in charge of…",2020-04-17 12:41:38+00:00,1
1251119456555802626,"RT @AubreyATN: .@CruiseNorwegian piece of shit! DO THE SAME LIKE @RoyalCaribbean 
NO CRUISE IN VANCOUVER UNTIL JULY 01. DO IT, DO IT! I’m v…",2020-04-17 12:04:57+00:00,1
1251119343615856640,".@CruiseNorwegian piece of shit! DO THE SAME LIKE @RoyalCaribbean 
NO CRUISE IN VANCOUVER UNTIL JULY 01. DO IT, DO IT! I’m very upset!
Help @JustinTrudeau @VancouverSun @TwitterCanada @CelebrityCruise @PrincessCruises @CarnivalCruise @MSCCruisesUSA @DisneyCruise @CDCgov @WHO https://t.co/wob1rE5SVF",2020-04-17 12:04:30+00:00,1
1251115317805359105,Carnival Executives knew they had a covid 19 problem but kept the party going anyhow. Another example of greed and profit over safety. Should the executives be held criminally responsible? @CarnivalCruise https://t.co/LwSdaAkz4D,2020-04-17 11:48:31+00:00,1
1251109656468086784,@CarnivalCruise I hope this ends the disease filled cruise industry for good. No one needs this. Bankruptcy will be forthcoming.,2020-04-17 11:26:01+00:00,1
1251107838753153026,"RT @ljayes: Another 2 deaths in NSW today. 

Both were passengers onboard the Ruby Princess cruise ship. 

Still no apology from @CarnivalC…",2020-04-17 11:18:47+00:00,1
1251065735205605376,Carnival extends sailing suspension https://t.co/PInakFU4la  #cruise #Carnival @carnivalcruise,2020-04-17 08:31:29+00:00,1
1251057948945715200,"@DjangoGoddess @CarnivalCruise My cruise was cancelled on 3/13, just shy of 48 hours before sailing 3/15, because all cruises were halted. I completed the online form to request the refund the same day. It took about 35 days. We were told 30 - 90 days so they held true to the early end of that.",2020-04-17 08:00:33+00:00,1
